Programme,Session,Run,Name,Comment,drag short,drag long,side short,side long,cda short,cda long,yaw angle,air speed nominal,air speed nominal perceived,air speed target,air speed target perceived,air speed actual,air speed actual perceived,air temperature,air density,humidity,absolute air pressure,dynamic pressure,cadence,wheel speed,wheel power,power required live,load1 Vf,load2_Vrr,load3 Vrl,load4 D,load5 Sr,load6 Sf
P0018,S0001,R0002,GB tri-suit,-,14.48451521,14.55070246,3.002516503,3.061642728,0.268113205,0.269338324,14.98513043,9.72223,9.391605767,9.877110739,9.541219472,9.871409601,9.535712212,20.20038262,1.186883303,30.21462714,100211.9234,57.83277806,96.2325157,9.835433136,91.43222066,136.6544602,1922.581215,1183.839783,895.015762,2.389643333,-16.409488,-15.77061933
P0018,S0001,R0002,GB tri-suit,-,25.28640307,25.24628899,-13.57570694,-13.62899155,0.264216707,0.263797556,0.001429451,12.50001,12.50001,12.69855759,12.69855758,12.70273911,12.7027391,20.15001678,1.186992546,30.21323485,100203.1115,95.77432439,96.62078539,9.807982597,92.10095405,315.5788647,1915.005703,1159.588131,929.0516327,13.178806,-2.086334,0.080138
P0018,S0001,R0002,GB tri-suit,-,25.24727324,25.23903028,-6.259937629,-6.208873924,0.26580505,0.265718269,4.97277113,12.50001,12.45296002,12.69885719,12.65105875,12.69050097,12.64273399,20.17724627,1.186936536,30.20811969,100208.0759,95.58593514,96.13105347,9.7471474,91.12669811,314.3006351,1910.917585,1172.999121,917.6999973,13.22723867,-8.867547333,-8.402458667
P0018,S0001,R0002,GB tri-suit,-,23.84320753,23.84176705,4.550022944,4.557567683,0.256825482,0.256809974,9.963701499,12.50001,12.31147943,12.69935912,12.50782188,12.69272792,12.5012907,20.19997978,1.186842714,30.21265899,100208.3448,95.60892639,97.59449155,9.925911006,92.79719197,293.527425,1912.089657,1191.907277,897.3549687,11.89309533,-16.97778667,-17.94591267
P0018,S0001,R0002,GB tri-suit,-,23.30089418,23.2324005,13.55314527,13.53447993,0.260914255,0.260147349,14.98513041,12.50001,12.0749217,12.69932042,12.26745417,12.67865563,12.24749212,20.20194284,1.186849948,30.2124839,100209.6626,95.39944472,95.53329758,9.763152941,91.25649013,280.5294176,1909.610095,1205.977891,880.0934453,11.1837036,-24.9120474,-26.37216288
P0018,S0001,R0003,NoPinz hot weather suit,-,11.36075783,11.34950721,-12.54270459,-13.00083584,0.267093327,0.266828823,0.001429992,8.33334,8.333339997,8.463636225,8.463636222,8.479195454,8.479195451,20.09997123,1.187572911,30.14143633,100233.4356,42.69478817,89.71409091,9.118820365,86.63132375,94.57930237,1931.060328,1154.925134,920.0134056,-0.545104069,-2.158417612,-0.042052702
P0018,S0001,R0003,NoPinz hot weather suit,-,11.30596532,11.33913483,-9.815278756,-9.54923247,0.267817475,0.268603201,4.972769177,8.33334,8.301973374,8.465307948,8.433444596,8.466121795,8.43425538,20.2015532,1.187103914,30.10628561,100229.9524,42.5468988,89.49682725,9.142216272,85.77161168,94.13719543,1929.34568,1160.392765,916.651198,-0.514222,-4.993556667,-3.747443333
P0018,S0001,R0003,NoPinz hot weather suit,-,10.98050871,10.99649967,-5.81967237,-5.485230346,0.266120566,0.26650812,9.963702048,8.33334,8.207652939,8.465615927,8.337933823,8.459432171,8.331843333,20.22644456,1.187017543,30.21072294,100232.5086,42.48045642,92.76003749,9.445428837,88.55160668,90.25545275,1929.339161,1165.847887,908.7491433,-1.030258667,-8.300616,-7.514576
P0018,S0001,R0003,NoPinz hot weather suit,-,11.20498819,11.20136701,-2.767460072,-2.810087067,0.282305433,0.282214183,14.98513119,8.33334,8.049947772,8.465675555,8.177782986,8.466983912,8.179046848,20.22498322,1.187000819,30.21933952,100230.6518,42.55201261,92.41163025,9.409195801,88.30655191,90.17041959,1930.883724,1169.718861,902.1414453,-0.885561333,-11.94814133,-10.80011067
P0018,S0001,R0003,NoPinz hot weather suit,-,15.22014203,15.28629953,-12.86617417,-12.86019068,0.262894097,0.26403682,0.001430575,9.72223,9.722229997,9.875600403,9.8756004,9.873353741,9.873353738,20.16941027,1.18724637,30.15420599,100230.8743,57.87396231,92.13508689,9.342217045,87.6417024,148.6169198,1924.994844,1156.888482,923.1703587,3.215780667,-1.752631333,0.304398667
P0018,S0001,R0003,NoPinz hot weather suit,-,15.27497364,15.22354861,-9.660181973,-9.179087803,0.265838641,0.264943675,4.97276537,9.72223,9.685635659,9.87687695,9.839700519,9.84401547,9.80696273,20.23926075,1.186939493,30.21564631,100230.5553,57.5145488,91.14698885,9.180362049,86.36038864,147.4497452,1924.899158,1160.411315,918.7631697,3.226676019,-5.212363393,-4.785908484
P0018,S0001,R0003,NoPinz hot weather suit,-,14.97180036,14.6065736,-3.634193254,-3.485416827,0.266585438,0.260082253,9.963707154,9.72223,9.575594946,9.876346186,9.727386682,9.874052176,9.72512727,20.22498322,1.187067071,30.11447184,100235.2913,57.87287412,91.74931981,9.379650867,87.8736511,139.8666319,1924.907089,1172.230415,907.4957847,3.009864,-10.38220333,-10.59163067
P0018,S0001,R0003,NoPinz hot weather suit,-,14.95204841,14.94221116,0.960073705,0.81512374,0.27676735,0.27658529,14.98513134,9.72223,9.391605727,9.876748126,9.540869148,9.871497601,9.535797177,20.22498322,1.186970459,30.34444185,100229.2162,57.83729708,92.68369909,9.505450063,88.83608625,140.3313559,1924.657071,1178.618144,898.6088284,3.069876502,-15.37902203,-14.71576435
P0018,S0001,R0003,NoPinz hot weather suit,-,24.26709122,24.32380661,-14.39247281,-14.43057428,0.253565954,0.254158571,0.001430925,12.50001,12.50001,12.69820824,12.69820824,12.67205348,12.67205348,20.21405782,1.187057858,30.1006297,100230.483,95.31642695,92.35764851,9.413761583,88.36242156,304.0478258,1915.786453,1157.81118,931.5616947,12.17387533,-1.056109333,0.619597333
P0018,S0001,R0003,NoPinz hot weather suit,-,24.43673007,24.50491951,-5.94375578,-6.244389491,0.257271599,0.257989499,4.972768704,12.50001,12.45296007,12.69925731,12.65145741,12.69314022,12.64536335,20.25886396,1.186861748,30.21334856,100231.0011,95.62120174,92.42129758,9.365455547,87.97834689,305.1587842,1915.487151,1173.457413,916.3175347,12.6130721,-8.013548732,-7.843385848
P0018,S0001,R0003,NoPinz hot weather suit,-,23.84431051,23.89964773,3.64668299,3.74875569,0.256837352,0.257433431,9.963698877,12.50001,12.31147953,12.69855963,12.50703455,12.67704514,12.48584455,20.22822731,1.186992167,30.21350488,100231.0375,95.38835551,92.71764722,9.435124413,88.28370383,294.240024,1915.671392,1188.697373,897.2024813,11.790226,-15.61575533,-17.20468067
P0018,S0001,R0003,NoPinz hot weather suit,-,23.72377396,23.77164328,10.02432198,10.1396966,0.265649537,0.266185551,14.98513238,12.50001,12.07492159,12.6986061,12.26676402,12.70009399,12.26820131,20.22498322,1.186983478,30.34348427,100230.304,95.73578301,96.18888732,9.674388113,90.64607005,287.0407283,1914.679089,1197.378174,884.9173653,11.80765067,-24.00141667,-25.54191733
P0018,S0001,R0004,Rapha Flaero RR suit,-,11.65065558,11.72041206,-9.937321478,-10.50482046,0.273908873,0.275548859,0.001434146,8.33334,8.333339997,8.463554343,8.46355434,8.490644123,8.490644121,20.11910462,1.187595888,30.21128814,100242.8313,42.81358287,91.54888366,9.156681561,87.02331676,97.67017857,1938.536101,1155.305799,908.1491027,-0.305867333,-2.673284667,-0.277236667
P0018,S0001,R0004,Rapha Flaero RR suit,-,11.38174336,11.52527339,-8.394508253,-8.643629071,0.269612533,0.273012481,4.972769498,8.33334,8.30197337,8.463425001,8.431568731,8.490332139,8.458374591,20.125,1.187632186,30.21177977,100248.0025,42.80888655,95.23952338,9.636982216,91.33354317,95.68251259,1939.08245,1156.617552,905.8311153,-0.44445,-5.699954,-3.894928
P0018,S0001,R0004,Rapha Flaero RR suit,-,11.05333448,11.01308482,-4.408847573,-4.668429329,0.267885523,0.266910068,9.963704174,8.33334,8.207652886,8.462620296,8.334983319,8.493068763,8.364972549,20.07497978,1.187858058,30.22491016,100249.2479,42.84388593,93.36182195,9.47657136,88.7139203,90.39157743,1937.578077,1164.592212,898.7322939,-0.761613226,-8.609457582,-7.869616566
P0018,S0001,R0004,Rapha Flaero RR suit,-,10.89788012,11.01239782,-0.996949829,-0.983756157,0.274567987,0.27745318,14.98513193,8.33334,8.049947744,8.46244129,8.174658681,8.466749997,8.178820859,20.05002022,1.187908317,30.34211148,100245.5909,42.58307487,92.0689218,9.382694722,87.97511413,88.64922683,1934.720378,1170.798643,894.5445707,-1.055190667,-11.69347333,-10.71382733
P0018,S0001,R0004,Rapha Flaero RR suit,-,15.46230826,15.51333246,-12.09045694,-11.99686252,0.26707698,0.26795831,0.001430037,9.72223,9.722229997,9.873987233,9.87398723,9.865221293,9.86522129,20.11485151,1.187634334,30.21432533,100244.5717,57.79786628,94.06132242,9.477654597,89.96379011,150.8241862,1930.327673,1153.65205,917.0593893,3.386440667,-2.143231333,-0.120848
P0018,S0001,R0004,Rapha Flaero RR suit,-,15.29537085,15.3981092,-7.033005559,-7.081872504,0.266193639,0.267981648,4.972769378,9.72223,9.6856356,9.873550062,9.836386094,9.857308778,9.820205941,20.10062433,1.187739508,30.13491296,100247.6491,57.71515367,94.7436669,9.600944657,89.96077004,149.1404744,1933.382681,1160.895877,907.2326813,3.424855333,-5.983170667,-4.987357333
